"Name","ID","train_sets","ANLI_test_acc_epoch","MNLI_test_acc_epoch","SNLI_test_acc_epoch","WANLI_test_acc_epoch","val_acc_epoch"
"efficient-pyramid-2336","3hj3r7h8","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3086363673210144","0.5156759023666382","0.5829600691795349","0.5095846652984619","0.47575756907463074"
"swept-butterfly-2338","3qgf62qn","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.348181813955307","0.7229234576225281","0.826649010181427","0.6485623121261597","0.6016666889190674"
"dandy-brook-2343","75aucqoo","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3309091031551361","0.3177931606769562","0.3276669383049011","0.4800319373607635","0.3778787851333618"
"lemon-yogurt-2337","8u4z0bl0","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3245454430580139","0.5549674034118652","0.7271987199783325","0.5603035092353821","0.5295454263687134"
"revived-plasma-2350","cvvbnai2","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3322727382183075","0.6866856813430786","0.8338761925697327","0.6573482155799866","0.6006060838699341"
"dulcet-wave-2334","q6teru7f","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3199999928474426","0.7367671132087708","0.8290920257568359","0.6381788849830627","0.588939368724823"
"eager-darkness-2341","tbqcrofw","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.33454546332359314","0.3188110888004303","0.3276669383049011","0.49001598358154297","0.3727272748947144"
"swift-forest-2339","tzkpa1b4","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.34090909361839294","0.36074918508529663","0.3485341966152191","0.4636581540107727","0.38227272033691406"
"rich-violet-2340","ukz4k60f","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.33954545855522156","0.308835506439209","0.3243078291416168","0.4820287525653839","0.3854545354843139"
"jolly-sea-2347","viyd2ksy","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3604545593261719","0.7451140284538269","0.8595277070999146","0.6785143613815308","0.6254545450210571"
"ethereal-firebrand-1599","1nhrff19","[""SNLI_0.5"",""ANLI_0.0"",""WANLI_0.5""]","0.3368181884288788","0.6368270516395569","0.8730659484863281","0.6594551205635071","0.6210606098175049"
"snowy-sun-1655","2oubuxtf","[""SNLI_0.5"",""ANLI_0.0"",""WANLI_0.5""]","0.32363635301589966","0.6871941089630127","0.8691979050636292","0.6850961446762085","0.6159090995788574"
"skilled-totem-1627","349qk5n3","[""SNLI_0.5"",""ANLI_0.0"",""WANLI_0.5""]","0.3195454478263855","0.7049347758293152","0.8696050643920898","0.6750801205635071","0.6222727298736572"
"summer-shadow-1652","3km236cq","[""SNLI_0.5"",""ANLI_0.0"",""WANLI_0.5""]","0.33454546332359314","0.6910685300827026","0.8698086142539978","0.6778846383094788","0.6293939352035522"
"peachy-snowflake-1623","5p4f3frg","[""SNLI_0.5"",""ANLI_0.0"",""WANLI_0.5""]","0.32681816816329956","0.7320554852485657","0.8747963905334473","0.6971153616905212","0.6253030300140381"
"worldly-haze-1656","11939nui","[""SNLI_0.5"",""ANLI_0.5"",""WANLI_0.0""]","0.3672727346420288","0.7899673581123352","0.8746946454048157","0.578125","0.5922726988792419"
"stilted-river-1617","3lafhgxq","[""SNLI_0.5"",""ANLI_0.5"",""WANLI_0.0""]","0.35363635420799255","0.8062806129455566","0.8805985450744629","0.5629006624221802","0.589090883731842"
"lunar-pond-1596","3peonqbo","[""SNLI_0.5"",""ANLI_0.5"",""WANLI_0.0""]","0.3686363697052002","0.8132137060165405","0.8810057044029236","0.5452724099159241","0.600151538848877"
"sandy-microwave-1626","ici20zl7","[""SNLI_0.5"",""ANLI_0.5"",""WANLI_0.0""]","0.38045454025268555","0.7956770062446594","0.8721498250961304","0.5440705418586731","0.5936363339424133"
"rich-resonance-1651","yy8j4un4","[""SNLI_0.5"",""ANLI_0.5"",""WANLI_0.0""]","0.3418181836605072","0.8062806129455566","0.8725569844245911","0.5256410241127014","0.5913636088371277"
"fanciful-bird-1605","10r9qioo","[""SNLI_0.25"",""ANLI_0.75"",""WANLI_0.0""]","0.3650000095367432","0.7850733995437622","0.8660423159599304","0.5721153616905212","0.5986363887786865"
"twilight-oath-1612","1uqsuj99","[""SNLI_0.25"",""ANLI_0.75"",""WANLI_0.0""]","0.3763636350631714","0.8058727383613586","0.8798859715461731","0.5901442170143127","0.6007575988769531"
"treasured-darkness-1610","3grrdd9u","[""SNLI_0.25"",""ANLI_0.75"",""WANLI_0.0""]","0.3722727298736572","0.7942495942115784","0.868383526802063","0.5600961446762085","0.5936363339424133"
"smooth-silence-1637","3l34k244","[""SNLI_0.25"",""ANLI_0.75"",""WANLI_0.0""]","0.37090909481048584","0.7834420800209045","0.8559649586677551","0.5612980723381042","0.5930302739143372"
"graceful-hill-1647","isd7u1g9","[""SNLI_0.25"",""ANLI_0.75"",""WANLI_0.0""]","0.3659090995788574","0.7428629398345947","0.854743480682373","0.5965544581413269","0.574696958065033"
"expert-voice-1602","11lbdu4f","[""SNLI_0.0"",""ANLI_0.0"",""WANLI_1.0""]","0.3240908980369568","0.6977977156639099","0.6041327118873596","0.7019230723381042","0.5439394116401672"
"likely-deluge-1597","2u3n0bs4","[""SNLI_0.0"",""ANLI_0.0"",""WANLI_1.0""]","0.33636364340782166","0.7012642621994019","0.6443403959274292","0.7071313858032227","0.5460606217384338"
"sage-waterfall-1635","31wn99s5","[""SNLI_0.0"",""ANLI_0.0"",""WANLI_1.0""]","0.3240908980369568","0.6998368501663208","0.5785830616950989","0.6979166865348816","0.5162121057510376"
"fragrant-sponge-1621","dx3eso6v","[""SNLI_0.0"",""ANLI_0.0"",""WANLI_1.0""]","0.34090909361839294","0.7206361889839172","0.6179763674736023","0.6875","0.5460606217384338"
"ethereal-gorge-1628","134o7l66","[""SNLI_0.0"",""ANLI_0.5"",""WANLI_0.5""]","0.398181825876236","0.7871125340461731","0.715085506439209","0.6518429517745972","0.5774242281913757"
"absurd-monkey-1646","21mw8ssc","[""SNLI_0.0"",""ANLI_0.5"",""WANLI_0.5""]","0.3718181848526001","0.7318515777587891","0.6731473803520203","0.6903044581413269","0.5498484969139099"
"amber-puddle-1603","29ebl1wo","[""SNLI_0.0"",""ANLI_0.5"",""WANLI_0.5""]","0.36181819438934326","0.7332789301872253","0.6344665884971619","0.6782852411270142","0.5551515221595764"
"worthy-mountain-1649","3gziz8x2","[""SNLI_0.0"",""ANLI_0.5"",""WANLI_0.5""]","0.37590909004211426","0.7377650737762451","0.6700936555862427","0.6790865659713745","0.5556060671806335"
"crisp-dragon-1625","tn4vqlag","[""SNLI_0.0"",""ANLI_0.5"",""WANLI_0.5""]","0.3781818151473999","0.7442903518676758","0.6589983701705933","0.7043269276618958","0.5633333325386047"
"deft-fire-1601","151d0vo4","[""SNLI_0.0"",""ANLI_1.0"",""WANLI_0.0""]","0.3772727251052856","0.7720228433609009","0.7305577993392944","0.5893429517745972","0.5407575964927673"
"stellar-plant-1636","2ednuwqm","[""SNLI_0.0"",""ANLI_1.0"",""WANLI_0.0""]","0.3509090840816498","0.7881321310997009","0.7454193830490112","0.582932710647583","0.5406060814857483"
"deft-wave-1630","2nqod0gu","[""SNLI_0.0"",""ANLI_1.0"",""WANLI_0.0""]","0.37090909481048584","0.7718189358711243","0.7097923159599304","0.5584936141967773","0.5365151762962341"
"valiant-snowball-1620","ja8r2sy5","[""SNLI_0.0"",""ANLI_1.0"",""WANLI_0.0""]","0.3768181800842285","0.7550978660583496","0.7316775321960449","0.5592948794364929","0.5550000071525574"
"fancy-star-1587","thp5i4on","[""SNLI_0.0"",""ANLI_1.0"",""WANLI_0.0""]","0.36136364936828613","0.7858890891075134","0.7368689179420471","0.567307710647583","0.5418182015419006"
"splendid-meadow-1591","192k7pkn","[""SNLI_0.25"",""ANLI_0.0"",""WANLI_0.75""]","0.33000001311302185","0.7096247673034668","0.8617671132087708","0.6951121687889099","0.6266666650772095"
"dazzling-energy-1641","1d2ol14o","[""SNLI_0.25"",""ANLI_0.0"",""WANLI_0.75""]","0.3259090781211853","0.6670065522193909","0.8624796271324158","0.7039262652397156","0.6160606145858765"
